"REF_DATE","GEO","DGUID","Income concept","Economic family type","UOM","UOM_ID","SCALAR_FACTOR","SCALAR_ID","VECTOR","COORDINATE","VALUE","STATUS","SYMBOL","TERMINATED","DECIMALS"
"2014","Quebec","2021A000224","Median total income","Persons not in an economic family","2023 constant dollars","449","units","0","v96413384","7.8.14","37900","B","","","0"
"2015","Quebec","2021A000224","Median total income","Persons not in an economic family","2023 constant dollars","449","units","0","v96413384","7.8.14","36200","B","","","0"
"2016","Quebec","2021A000224","Median total income","Persons not in an economic family","2023 constant dollars","449","units","0","v96413384","7.8.14","36700","B","","","0"
"2017","Quebec","2021A000224","Median total income","Persons not in an economic family","2023 constant dollars","449","units","0","v96413384","7.8.14","37200","B","","","0"
"2018","Quebec","2021A000224","Median total income","Persons not in an economic family","2023 constant dollars","449","units","0","v96413384","7.8.14","36600","B","","","0"
"2019","Quebec","2021A000224","Median total income","Persons not in an economic family","2023 constant dollars","449","units","0","v96413384","7.8.14","36000","B","","","0"
"2020","Quebec","2021A000224","Median total income","Persons not in an economic family","2023 constant dollars","449","units","0","v96413384","7.8.14","41200","B","","","0"
"2021","Quebec","2021A000224","Median total income","Persons not in an economic family","2023 constant dollars","449","units","0","v96413384","7.8.14","42500","B","","","0"
"2022","Quebec","2021A000224","Median total income","Persons not in an economic family","2023 constant dollars","449","units","0","v96413384","7.8.14","43700","A","","","0"
"2023","Quebec","2021A000224","Median total income","Persons not in an economic family","2023 constant dollars","449","units","0","v96413384","7.8.14","43900","A","","","0"
"2009","Quebec","2021A000224","Median income tax","Economic families and persons not in an economic family","2023 constant dollars","449","units","0","v96413411","7.10.1","6400","C","","","0"
"2010","Quebec","2021A000224","Median income tax","Economic families and persons not in an economic family","2023 constant dollars","449","units","0","v96413411","7.10.1","6800","C","","","0"
"2011","Quebec","2021A000224","Median income tax","Economic families and persons not in an economic family","2023 constant dollars","449","units","0","v96413411","7.10.1","7300","C","","","0"
