"REF_DATE","GEO","DGUID","Income concept","Economic family type","UOM","UOM_ID","SCALAR_FACTOR","SCALAR_ID","VECTOR","COORDINATE","VALUE","STATUS","SYMBOL","TERMINATED","DECIMALS"
"2018","Ontario","2021A000235","Median income tax","Persons not in an economic family","2023 constant dollars","449","units","0","v96413664","8.10.14","3200","D","","","0"
"2019","Ontario","2021A000235","Median income tax","Persons not in an economic family","2023 constant dollars","449","units","0","v96413664","8.10.14","3500","D","","","0"
"2020","Ontario","2021A000235","Median income tax","Persons not in an economic family","2023 constant dollars","449","units","0","v96413664","8.10.14","3400","D","","","0"
"2021","Ontario","2021A000235","Median income tax","Persons not in an economic family","2023 constant dollars","449","units","0","v96413664","8.10.14","4200","C","","","0"
"2022","Ontario","2021A000235","Median income tax","Persons not in an economic family","2023 constant dollars","449","units","0","v96413664","8.10.14","3400","C","","","0"
"2023","Ontario","2021A000235","Median income tax","Persons not in an economic family","2023 constant dollars","449","units","0","v96413664","8.10.14","3700","C","","","0"
"2009","Ontario","2021A000235","Median after-tax income","Economic families and persons not in an economic family","2023 constant dollars","449","units","0","v96413691","8.12.1","71800","A","","","0"
"2010","Ontario","2021A000235","Median after-tax income","Economic families and persons not in an economic family","2023 constant dollars","449","units","0","v96413691","8.12.1","71400","A","","","0"
"2011","Ontario","2021A000235","Median after-tax income","Economic families and persons not in an economic family","2023 constant dollars","449","units","0","v96413691","8.12.1","70600","A","","","0"
"2012","Ontario","2021A000235","Median after-tax income","Economic families and persons not in an economic family","2023 constant dollars","449","units","0","v96413691","8.12.1","71000","A","","","0"
"2013","Ontario","2021A000235","Median after-tax income","Economic families and persons not in an economic family","2023 constant dollars","449","units","0","v96413691","8.12.1","70300","A","","","0"
"2014","Ontario","2021A000235","Median after-tax income","Economic families and persons not in an economic family","2023 constant dollars","449","units","0","v96413691","8.12.1","72400","A","","","0"
"2015","Ontario","2021A000235","Median after-tax income","Economic families and persons not in an economic family","2023 constant dollars","449","units","0","v96413691","8.12.1","72500","A","","","0"
"2016","Ontario","2021A000235","Median after-tax income","Economic families and persons not in an economic family","2023 constant dollars","449","units","0","v96413691","8.12.1","72000","A","","","0"
"2017","Ontario","2021A000235","Median after-tax income","Economic families and persons not in an economic family","2023 constant dollars","449","units","0","v96413691","8.12.1","73900","A","","","0"
"2018","Ontario","2021A000235","Median after-tax income","Economic families and persons not in an economic family","2023 constant dollars","449","units","0","v96413691","8.12.1","75900","A","","","0"
"2019","Ontario","2021A000235","Median after-tax income","Economic families and persons not in an economic family","2023 constant dollars","449","units","0","v96413691","8.12.1","74600","A","","","0"
"2020","Ontario","2021A000235","Median after-tax income","Economic families and persons not in an economic family","2023 constant dollars","449","units","0","v96413691","8.12.1","80400","A","","","0"
